file,line,classification,note,sentence,replacement
"src/lib/data/answers/buy-a-hotel/buying-a-hotel-from-receivership-or-foreclosure.ts","202","OK","","Matthews Hotel Markets September 2026 rate sheet",""
"src/lib/data/answers/buy-a-hotel/buying-a-hotel-from-receivership-or-foreclosure.ts","204","OK","","Matthews Hotel Markets (first-party)",""
"src/lib/data/answers/buy-a-hotel/buying-a-hotel-from-receivership-or-foreclosure.ts","231","OK","","Matthews Hotel Markets sells hotels and places hotel debt, so the same desk can price the purchase and the loan that has to follow it.",""
"src/lib/data/answers/buy-a-hotel/due-diligence-checklist.ts","36","OK","","Our published sale playbook budgets 60 to 90 days for due diligence and closing together, so start every third-party report in week one.[7]",""
"src/lib/data/answers/buy-a-hotel/due-diligence-checklist.ts","71","OK","","Our published sale playbook budgets 60 to 90 days for due diligence and closing together, from week 12 to week 24.[7]",""
"src/lib/data/answers/buy-a-hotel/due-diligence-checklist.ts","149","OK","","Matthews Hotel Markets publishes the cap-rate bands a diligence adjustment gets priced at.",""
"src/lib/data/answers/buy-a-hotel/due-diligence-checklist.ts","149","OK","","The Matthews Hotel Index for Q1 2026 puts select-service cap rates in a 7.50 to 8.75 percent band across the 14 markets we cover.[12]",""
"src/lib/data/answers/buy-a-hotel/due-diligence-checklist.ts","153","OK","","At an 8.00 percent cap rate, inside the select-service band in the Matthews Hotel Index,[12] the seller's number implies $1,500,000 divided by 0.08, or $18,750,000.",""
"src/lib/data/answers/buy-a-hotel/due-diligence-checklist.ts","158","OK","","Our published sale playbook budgets 60 to 90 days for due diligence and closing together.[7] Franchise approval and a liquor license transfer are the items most likely to set the pace.",""
"src/lib/data/answers/buy-a-hotel/due-diligence-checklist.ts","232","OK","","Matthews Hotel Markets (first-party)",""
"src/lib/data/answers/buy-a-hotel/due-diligence-checklist.ts","265","OK","","Matthews Hotel Index, Q1 2026",""
"src/lib/data/answers/buy-a-hotel/due-diligence-checklist.ts","292","OK","","Matthews Hotel Markets prepares sellers against this same list, which is why we know where buyers find the problems.",""
"src/lib/data/answers/buy-a-hotel/first-hotel-no-experience.ts","25","OK","","Does Matthews Hotel Markets help buyers with acquisition advisory?",""
"src/lib/data/answers/buy-a-hotel/first-hotel-no-experience.ts","39","OK","","Hilton's 2025 Hampton disclosure is the clearest public statement we have read.",""
"src/lib/data/answers/buy-a-hotel/first-hotel-no-experience.ts","54","OK","","Our September 2026 rate sheet marks their leverage and pricing terms as not yet published for the same reason: nobody prints them.[5] The lender types are compared at [Which lenders finance hotels?](/hotel-financing/hotel-lenders-by-type).",""
"src/lib/data/answers/buy-a-hotel/first-hotel-no-experience.ts","115","OK","","Matthews Hotel Markets' September 2026 rate sheet shows what a first-time buyer's most likely loan costs today: the SBA 7(a) maximum allowable rate is 10.00%, with Prime at 7.00% since September 17, 2026, and the 25-year SBA 504 debenture priced at 6.54% on September 10, 2026.[5]",""
"src/lib/data/answers/buy-a-hotel/first-hotel-no-experience.ts","182","OK","","Matthews Hotel Markets September 2026 rate sheet",""
"src/lib/data/answers/buy-a-hotel/first-hotel-no-experience.ts","184","OK","","Matthews Hotel Markets",""
"src/lib/data/answers/buy-a-hotel/first-hotel-no-experience.ts","215","OK","","Matthews Hotel Markets gives first-time buyers one piece of advice before any other: pick the operator before you pick the hotel.",""
"src/lib/data/answers/buy-a-hotel/how-much-money-do-you-need.ts","45","OK","","Our September 2026 rate sheet marks maximum loan-to-value as not yet published for every lender type except SBA, because no lender type prints one.[4] What is public is the cost of the money.",""
"src/lib/data/answers/buy-a-hotel/how-much-money-do-you-need.ts","131","OK","","Matthews Hotel Markets' September 2026 rate sheet publishes the one hotel leverage ceiling that is written down anywhere: SBA rules cap a 504 hotel structure at 85% of project cost.",""
"src/lib/data/answers/buy-a-hotel/how-much-money-do-you-need.ts","191","OK","","Matthews Hotel Markets September 2026 rate sheet",""
"src/lib/data/answers/buy-a-hotel/how-much-money-do-you-need.ts","193","OK","","Matthews Hotel Markets",""
"src/lib/data/answers/buy-a-hotel/how-much-money-do-you-need.ts","254","OK","","Matthews Hotel Markets builds the full sources and uses for a buyer before the offer goes in, so the equity check is known before the deposit is at risk.",""
"src/lib/data/answers/buy-a-hotel/hub.ts","35","OK","","Our published sale playbook puts offers in weeks 8 to 12 and due diligence through closing in weeks 12 to 24, typically 60 to 90 days.[4]",""
"src/lib/data/answers/buy-a-hotel/hub.ts","42","OK","","Our published sale playbook shows the seller's side of the first path.",""
"src/lib/data/answers/buy-a-hotel/hub.ts","47","OK","","SBA 504 requires a hotel buyer to contribute at least 15 percent of project cost, or 20 percent if the business has operated two years or less.[1][2] Banks, CMBS lenders, life companies and debt funds set their own equity requirements and do not publish them, which our September 2026 rate sheet records as not yet published.[7] On top of equity, a branded purchase carries an application fee, $200,000 for a change of ownership on Hilton's 2025 Hampton schedule, and a property improvement plan.[3] The full stack, with a worked example, is at [How much money do I need to buy a hotel?](/buy-a-hotel/how-much-money-do-you-need).",""
"src/lib/data/answers/buy-a-hotel/hub.ts","72","OK","","We keep the full answer on one page, with the statute, the regulations and a worked example: [Can I use a 1031 exchange to buy or sell a hotel?](/hotel-financing/1031-exchange-hotels).",""
"src/lib/data/answers/buy-a-hotel/hub.ts","77","OK","","The Matthews Hotel Index for Q1 2026 publishes cap-rate bands by segment across the 14 markets we cover.[8] Run the seller's income through your own adjustments before you apply any of them, because an owner-operated statement often leaves out a management fee and a reserve.",""
"src/lib/data/answers/buy-a-hotel/hub.ts","106","OK","","Marketed sales take offers in weeks 8 to 12 of our playbook[4]",""
"src/lib/data/answers/buy-a-hotel/hub.ts","128","OK","","Matthews Hotel Markets' September 2026 rate sheet gives a buyer the indexes every quote is struck against: the 10-year Treasury at 4.94% on September 17, 2026, SOFR at 3.85% for the same day, and Prime at 7.00%.",""
"src/lib/data/answers/buy-a-hotel/hub.ts","145","OK","","From a signed purchase agreement, our published sale playbook budgets 60 to 90 days for due diligence and closing.[4] Franchise approval and a liquor license can take longer, so start both at signing.",""
"src/lib/data/answers/buy-a-hotel/hub.ts","190","OK","","Matthews Hotel Markets (first-party)",""
"src/lib/data/answers/buy-a-hotel/hub.ts","209","OK","","Matthews Hotel Markets September 2026 rate sheet",""
"src/lib/data/answers/buy-a-hotel/hub.ts","211","OK","","Matthews Hotel Markets",""
"src/lib/data/answers/buy-a-hotel/hub.ts","216","OK","","Matthews Hotel Index, Q1 2026",""
"src/lib/data/answers/buy-a-hotel/hub.ts","245","OK","","Tell us what you want to buy",""
"src/lib/data/answers/buy-a-hotel/hub.ts","248","OK","","Matthews Hotel Markets runs hotel sale processes from the seller's side, which is how we know what a winning buyer looks like.",""
"src/lib/data/answers/buy-a-hotel/seller-financing.ts","59","OK","","For context, Matthews Hotel Markets' rate sheet shows the 10-year Treasury at 4.94 percent on September 17, 2026 and the SBA 7(a) maximum variable rate at 10.00 percent.[9]",""
"src/lib/data/answers/buy-a-hotel/seller-financing.ts","110","OK","","Matthews Hotel Markets' September 2026 rate sheet puts the SBA 7(a) maximum variable rate at 10.00 percent and the 25-year SBA 504 debenture at 6.54 percent.[9] A seller note is priced between the IRS floor and what that senior debt costs, by negotiation.",""
"src/lib/data/answers/buy-a-hotel/seller-financing.ts","209","OK","","Matthews Hotel Markets September 2026 rate sheet",""
"src/lib/data/answers/buy-a-hotel/seller-financing.ts","211","OK","","Matthews Hotel Markets (first-party)",""
"src/lib/data/answers/buy-a-hotel/seller-financing.ts","238","OK","","Matthews Hotel Markets places hotel debt and sells hotels, so the same desk can look at a seller note from the buyer's side and the seller's side.",""
"src/lib/data/answers/hotel-financing/1031-exchange-hotels.ts","125","OK","","The Matthews Hotel Index for Q1 2026 gives the cap-rate bands we use to identify replacement hotels inside a 45-day window.",""
"src/lib/data/answers/hotel-financing/1031-exchange-hotels.ts","232","OK","","Matthews Hotel Markets represents 1031 buyers of hotels, and the honest advice is always the same: start before the clock does.",""
"src/lib/data/answers/hotel-financing/brand-conversion-financing.ts","52","OK","","The capital rules help here: improvements to an existing income-producing property are excluded from the high volatility commercial real estate category when the property's cash flow supports its debt service and expenses under the bank's permanent-loan criteria.[3] Banks do not publish their terms, and our rate sheet marks them not yet published.[4] A bridge loan fits when the conversion is deep enough to interrupt cash flow, or when the existing loan has to be paid off to allow it.",""
"src/lib/data/answers/hotel-financing/brand-conversion-financing.ts","128","OK","","Matthews Hotel Markets' September 2026 rate sheet indexes its Bridge and debt fund row, the row most conversions are financed from, to SOFR at 3.85% for September 17, 2026, and notes that a bridge loan almost always requires a purchased rate cap.",""
"src/lib/data/answers/hotel-financing/brand-conversion-financing.ts","165","OK","","We do not publish a typical RevPAR lift, because no public primary source supports one.",""
"src/lib/data/answers/hotel-financing/brand-conversion-financing.ts","192","OK","","Matthews Hotel Markets September 2026 rate sheet",""
"src/lib/data/answers/hotel-financing/brand-conversion-financing.ts","194","OK","","Matthews Hotel Markets",""
"src/lib/data/answers/hotel-financing/brand-conversion-financing.ts","241","OK","","Matthews Hotel Markets builds the sources-and-uses table for a conversion before it approaches lenders, exit damages and key money included.",""
"src/lib/data/answers/hotel-financing/bridge-loans.ts","51","OK","","Matthews Hotel Markets' September 2026 rate sheet puts SOFR, the index a hotel bridge loan floats over, at 3.85% for September 17, 2026.[1] It marks the bridge spread and the cap strike as not yet published: nobody publishes either one, and we do not print a number we have not seen quoted by three independent lenders in a month.[2] Ask a bridge lender for both in writing.",""
"src/lib/data/answers/hotel-financing/bridge-loans.ts","122","OK","","Matthews Hotel Markets' September 2026 rate sheet puts SOFR, the index a hotel bridge loan floats over, at 3.85% for September 17, 2026.[1] It marks the bridge spread and the cap strike as not yet published, because nobody publishes them and we will not print a number we have not seen quoted three times in a month.[2]",""
"src/lib/data/answers/hotel-financing/bridge-loans.ts","131","OK","","Our September 2026 rate sheet publishes SOFR but not a bridge spread, because nobody publishes one.",""
"src/lib/data/answers/hotel-financing/bridge-loans.ts","168","OK","","Matthews Hotel Markets September 2026 rate sheet",""
"src/lib/data/answers/hotel-financing/bridge-loans.ts","170","OK","","Matthews Hotel Markets",""
"src/lib/data/answers/hotel-financing/bridge-loans.ts","195","OK","","Matthews Hotel Markets prices the bridge and the takeout at the same time, so the exit is underwritten before the bridge closes.",""
"src/lib/data/answers/hotel-financing/c-pace-financing.ts","45","OK","","Hotels are eligible commercial property in the programs we read, and the money pays for permanently fixed improvements that cut energy or water use.",""
"src/lib/data/answers/hotel-financing/c-pace-financing.ts","61","OK","","The Texas pages we read for this article do not describe a look-back at all.",""
"src/lib/data/answers/hotel-financing/c-pace-financing.ts","66","OK","","They are set by contract and not by the statutes we read.",""
"src/lib/data/answers/hotel-financing/c-pace-financing.ts","127","OK","","Matthews Hotel Markets' September 2026 rate sheet puts the 10-year Treasury at 4.94% as of September 17, 2026 and the 25-year SBA 504 debenture at 6.54% as of September 10, 2026.",""
"src/lib/data/answers/hotel-financing/c-pace-financing.ts","233","OK","","Matthews Hotel Markets September 2026 rate sheet",""
"src/lib/data/answers/hotel-financing/c-pace-financing.ts","235","OK","","Matthews Hotel Markets",""
"src/lib/data/answers/hotel-financing/c-pace-financing.ts","264","OK","","Matthews Hotel Markets sizes the senior loan and any C-PACE assessment together, because the lender who has to consent will look at the combined claim.",""
"src/lib/data/answers/hotel-financing/cmbs-loans.ts","46","CHECK","experience claim, no number: confirm the team actually observes this","In our experience, conduits set a higher debt yield floor for hotels than for leased property types.",""
"src/lib/data/answers/hotel-financing/cmbs-loans.ts","127","OK","","Matthews Hotel Markets' September 2026 rate sheet puts the 10-year Treasury, the index a fixed-rate CMBS quote is struck against, at 4.94% as of September 17, 2026, and marks the CMBS spread itself as not yet published.",""
"src/lib/data/answers/hotel-financing/cmbs-loans.ts","127","OK","","We do not print a spread until three independent lenders quote the same structure in a month.[4]",""
"src/lib/data/answers/hotel-financing/cmbs-loans.ts","191","OK","","Matthews Hotel Markets September 2026 rate sheet",""
"src/lib/data/answers/hotel-financing/cmbs-loans.ts","193","OK","","Matthews Hotel Markets",""
"src/lib/data/answers/hotel-financing/cmbs-loans.ts","218","OK","","Matthews Hotel Markets runs CMBS and balance-sheet quotes side by side, because the cheaper coupon and the better loan are frequently not the same quote.",""
"src/lib/data/answers/hotel-financing/construction-loans.ts","42","OK","","Our rate sheet carries a Construction row indexed to Prime or SOFR.",""
"src/lib/data/answers/hotel-financing/construction-loans.ts","42","OK","","The spread on that row is marked not yet published, because no construction lender publishes one and we do not print a spread until three independent lenders quote the same structure in a month.[8] For how each lender type behaves once the hotel is open, see `/hotel-financing/hotel-lenders-by-type`.",""
"src/lib/data/answers/hotel-financing/construction-loans.ts","67","OK","","It also means a construction request competes for a small allocation, so the sponsor's track record and liquidity carry most of the decision.",""
"src/lib/data/answers/hotel-financing/construction-loans.ts","123","OK","","Matthews Hotel Markets' September 2026 rate sheet indexes its Construction row to Prime or SOFR, with Prime at 7.00% effective September 17, 2026 and SOFR at 3.85% for the same date.",""
"src/lib/data/answers/hotel-financing/construction-loans.ts","123","OK","","It marks the construction spread as not yet published, because no lender publishes one and we do not print a spread until three independent lenders quote the same structure in a month.[8]",""
"src/lib/data/answers/hotel-financing/construction-loans.ts","148","OK","","No lender publishes its construction spread, so our rate sheet does not print one.",""
"src/lib/data/answers/hotel-financing/construction-loans.ts","215","OK","","Matthews Hotel Markets September 2026 rate sheet",""
"src/lib/data/answers/hotel-financing/construction-loans.ts","217","OK","","Matthews Hotel Markets",""
"src/lib/data/answers/hotel-financing/construction-loans.ts","271","OK","","Matthews Hotel Markets places construction, bridge and permanent hotel debt, and sizes the permanent takeout before the construction loan is signed.",""
"src/lib/data/answers/hotel-financing/eb-5-financing.ts","48","OK","","USCIS had not replaced the amounts on the page we read, which was last reviewed November 18, 2025.[1] Capital means cash and other tangible assets the investor owns and controls, valued at fair market value.",""
"src/lib/data/answers/hotel-financing/eb-5-financing.ts","119","OK","","Matthews Hotel Markets' September 2026 rate sheet puts SOFR at 3.85% and the 10-year Treasury at 4.94% as of September 17, 2026, and marks the construction loan spread as not yet published.",""
"src/lib/data/answers/hotel-financing/eb-5-financing.ts","190","OK","","Matthews Hotel Markets September 2026 rate sheet",""
"src/lib/data/answers/hotel-financing/eb-5-financing.ts","192","OK","","Matthews Hotel Markets",""
"src/lib/data/answers/hotel-financing/eb-5-financing.ts","220","OK","","Matthews Hotel Markets does not raise or place EB-5 capital.",""
"src/lib/data/answers/hotel-financing/extended-stay-financing.ts","42","OK","","No conventional lender publishes its thresholds for either product, so our rate sheet does not print them.[4] The extra questions are about durability.",""
"src/lib/data/answers/hotel-financing/extended-stay-financing.ts","57","OK","","Choice describes weekly housekeeping at Everhome Suites and MainStay Suites and bi-weekly housekeeping at WoodSpring Suites and Suburban Studios, alongside in-room kitchens and 24/7 guest laundry.[3] Hilton notes that a Home2 Suites hotel has limited meeting space and limited food and beverage.[2] Fees differ a little too: Hilton's 2026 documents put the monthly program fee at 3.5 percent of gross rooms revenue for Home2 Suites and 4 percent for Hampton, on top of a 6 percent royalty for both.[2][7] We do not publish an expense ratio for the segment, because the public sources that would support one are subscriber data.",""
"src/lib/data/answers/hotel-financing/extended-stay-financing.ts","126","OK","","Matthews Hotel Markets' September 2026 rate sheet does not carry a separate extended-stay row.",""
"src/lib/data/answers/hotel-financing/extended-stay-financing.ts","190","OK","","Matthews Hotel Markets September 2026 rate sheet",""
"src/lib/data/answers/hotel-financing/extended-stay-financing.ts","192","OK","","Matthews Hotel Markets",""
"src/lib/data/answers/hotel-financing/extended-stay-financing.ts","246","OK","","Matthews Hotel Markets checks the length-of-stay revenue split before it builds a lender list, because that one report decides whether SBA is on it.",""
"src/lib/data/answers/hotel-financing/faq.ts","117","OK","","Matthews Hotel Markets' September 2026 rate sheet marks points and working leverage as not yet published for every lender type except SBA, where SBA rules cap a hotel 504 structure at 85% of project cost.",""
"src/lib/data/answers/hotel-financing/faq.ts","130","OK","","Lenders do not publish them, and our rate sheet marks them not yet published.",""
"src/lib/data/answers/hotel-financing/faq.ts","181","OK","","Matthews Hotel Markets September 2026 rate sheet",""
"src/lib/data/answers/hotel-financing/faq.ts","183","OK","","Matthews Hotel Markets",""
"src/lib/data/answers/hotel-financing/faq.ts","212","OK","","Ask a question we have not answered here",""
"src/lib/data/answers/hotel-financing/faq.ts","215","OK","","If a question is not answered here, the Matthews Hotel Markets capital markets desk will answer it directly.",""
"src/lib/data/answers/hotel-financing/historic-tax-credits.ts","49","OK","","The IRS recognizes claims by partners and shareholders of pass-through entities and, in certain cases, by lessees when the owner elects to pass the credit through.[1] The terms of those investments are private and we do not publish a price for them.",""
"src/lib/data/answers/hotel-financing/historic-tax-credits.ts","74","OK","","We cite only a state agency for a state credit, so here is one worked from its own source.",""
"src/lib/data/answers/hotel-financing/historic-tax-credits.ts","135","OK","","Matthews Hotel Markets' September 2026 rate sheet shows Prime at 7.00% and SOFR at 3.85% as of September 17, 2026, the two indexes a construction or renovation loan floats over, and marks the construction spread as not yet published.",""
"src/lib/data/answers/hotel-financing/historic-tax-credits.ts","241","OK","","Matthews Hotel Markets September 2026 rate sheet",""
"src/lib/data/answers/hotel-financing/historic-tax-credits.ts","243","OK","","Matthews Hotel Markets",""
"src/lib/data/answers/hotel-financing/historic-tax-credits.ts","278","OK","","Matthews Hotel Markets does not syndicate or place historic tax credits.",""
"src/lib/data/answers/hotel-financing/hotel-lenders-by-type.ts","51","OK","","Matthews Hotel Markets' September 2026 rate sheet shows what each lender type will actually put in writing.",""
"src/lib/data/answers/hotel-financing/hotel-lenders-by-type.ts","56","OK","","An independent hotel is financeable, but the lender leans more heavily on the sponsor's own operating track record and the specific market's demand fundamentals, because there is no franchise system's reservation channel and brand standards behind the asset.",""
"src/lib/data/answers/hotel-financing/hotel-lenders-by-type.ts","124","OK","","Matthews Hotel Markets' September 2026 rate sheet publishes what each lender type will put in writing.",""
"src/lib/data/answers/hotel-financing/hotel-lenders-by-type.ts","177","OK","","Matthews Hotel Markets September 2026 rate sheet",""
"src/lib/data/answers/hotel-financing/hotel-lenders-by-type.ts","179","OK","","Matthews Hotel Markets",""
"src/lib/data/answers/hotel-financing/hotel-lenders-by-type.ts","232","OK","","Matthews Hotel Markets maintains the lender list behind this table and refreshes it with the monthly rate sheet.",""
"src/lib/data/answers/hotel-financing/hotel-loan-rates.ts","29","CHECK","experience claim, no number: confirm the team actually observes this","On September 17, 2026, the 10-year Treasury was 4.94 percent.[1] In our experience, hotels price wider than apartments or industrial, because hotel revenue reprices every night.",""
"src/lib/data/answers/hotel-financing/hotel-loan-rates.ts","33","CHECK","experience claim, no number: confirm the team actually observes this","In our experience, hotels carry a wider spread than leased property types.",""
"src/lib/data/answers/hotel-financing/hotel-loan-rates.ts","35","OK","","In our worked example, a 50 basis point rate move cuts DSCR-sized proceeds by about 4 percent.",""
"src/lib/data/answers/hotel-financing/hotel-loan-rates.ts","46","OK","","Matthews Hotel Markets' September 2026 rate sheet publishes 9 of its 49 priced cells and marks the other 40 as not yet published.",""
"src/lib/data/answers/hotel-financing/hotel-loan-rates.ts","46","OK","","The spread over the index is one of the cells we do not publish: no lender type prints one, and we will not print one until three independent lenders quote the same structure in a month.",""
"src/lib/data/answers/hotel-financing/hotel-loan-rates.ts","56","OK","","An independent or soft-branded hotel is financeable, but the lender leans more heavily on the sponsor's operating track record and the market fundamentals, because there is no franchise system standing behind demand generation.",""
"src/lib/data/answers/hotel-financing/hotel-loan-rates.ts","140","OK","","Our September 2026 rate sheet publishes the index values but not conventional spreads, so get the spread in writing.",""
"src/lib/data/answers/hotel-financing/hotel-loan-rates.ts","148","OK","","Nobody publishes it, and our rate sheet marks it not yet published.",""
"src/lib/data/answers/hotel-financing/hotel-loan-rates.ts","198","OK","","Matthews Hotel Markets September 2026 rate sheet",""
"src/lib/data/answers/hotel-financing/hotel-loan-rates.ts","200","OK","","Matthews Hotel Markets",""
"src/lib/data/answers/hotel-financing/hotel-loan-rates.ts","232","OK","","The spreads in the table above come from Matthews Hotel Markets' September 2026 rate sheet, which we update monthly.",""
"src/lib/data/answers/hotel-financing/how-debt-placement-works.ts","25","OK","","Does Matthews Hotel Markets do hotel capital markets and debt placement?",""
"src/lib/data/answers/hotel-financing/how-debt-placement-works.ts","56","OK","","Matthews Hotel Markets' September 2026 rate sheet marks the spread between lender types as not yet published, and that is exactly the point: the gap a placement process captures is not a number anyone prints, which is why an owner cannot look it up and decide on their own whether the process is worth the fee.",""
"src/lib/data/answers/hotel-financing/how-debt-placement-works.ts","65","CHECK","experience claim, no number: confirm the team actually observes this","In our experience, a straightforward hotel debt placement takes a few months from a complete application package to funding, and term sheets come back within a few weeks of the package going out.",""
"src/lib/data/answers/hotel-financing/how-debt-placement-works.ts","122","OK","","Matthews Hotel Markets' September 2026 rate sheet marks the spread between lender types as not yet published, and that is the point: the number a placement process captures is not a number anyone prints.",""
"src/lib/data/answers/hotel-financing/how-debt-placement-works.ts","126","OK","","Ask for the spread history before you engage anyone, including us.",""
"src/lib/data/answers/hotel-financing/how-debt-placement-works.ts","147","CHECK","experience claim, no number: confirm the team actually observes this","In our experience, a few months from a complete application package to funding, with term sheets back within a few weeks of the package going out.",""
"src/lib/data/answers/hotel-financing/how-debt-placement-works.ts","175","OK","","Matthews Hotel Markets September 2026 rate sheet",""
"src/lib/data/answers/hotel-financing/how-debt-placement-works.ts","177","OK","","Matthews Hotel Markets",""
"src/lib/data/answers/hotel-financing/how-debt-placement-works.ts","201","OK","","Matthews Hotel Markets runs hotel debt placement as a competitive process and publishes the rate sheet so clients can see the spread we are working against.",""
"src/lib/data/answers/hotel-financing/hub.ts","41","OK","","Each lender sets its own thresholds, and no conventional lender type publishes them, so our rate sheet marks them not yet published rather than guess.[4] Get your lender's tests in writing.",""
"src/lib/data/answers/hotel-financing/hub.ts","46","CHECK","experience claim, no number: confirm the team actually observes this","Fixed-rate hotel quotes track the 5- or 10-year Treasury; floating quotes track SOFR.[1][2] The spread over that index is set by five things, in the order we see lenders weigh them: the sponsor's experience and liquidity, the franchise flag and its market position, whether a PIP is open or funded, the market itself, and finally the loan structure.",""
"src/lib/data/answers/hotel-financing/hub.ts","46","OK","","Matthews Hotel Markets' September 2026 rate sheet puts the 10-year Treasury at 4.94% as of September 17, 2026 and the SBA 7(a) maximum allowable rate at 10.00%, which is SBA's 3.00% cap over the 7.00% Prime in effect since September 17, 2026.[3][6] It marks the conventional spread over that index as not yet published, because we do not print a spread until three independent lenders quote the same structure in a month.[4] The sheet shows what is and is not published, which is the part most rate sheets leave out.",""
"src/lib/data/answers/hotel-financing/hub.ts","112","OK","","Matthews Hotel Markets' September 2026 rate sheet puts the 10-year Treasury, the index a fixed-rate select-service quote is struck against, at 4.94% as of September 17, 2026.",""
"src/lib/data/answers/hotel-financing/hub.ts","112","OK","","It marks the conventional spread over that index as not yet published, because we do not print a spread until three independent lenders quote the same structure in a month.[4]",""
"src/lib/data/answers/hotel-financing/hub.ts","172","OK","","Matthews Hotel Markets September 2026 rate sheet",""
"src/lib/data/answers/hotel-financing/hub.ts","174","OK","","Matthews Hotel Markets",""
"src/lib/data/answers/hotel-financing/hub.ts","217","OK","","Matthews Hotel Markets places hotel debt and equity, and publishes the rate sheet the numbers on this page come from.",""
"src/lib/data/answers/hotel-financing/interest-only-loans.ts","42","OK","","No lender publishes its interest-only policy as a number, and our rate sheet does not print one.[5]",""
"src/lib/data/answers/hotel-financing/interest-only-loans.ts","126","OK","","Matthews Hotel Markets' September 2026 rate sheet puts the 10-year Treasury at 4.94% and SOFR at 3.85% as of September 17, 2026, and describes both SBA programs as fully amortizing.",""
"src/lib/data/answers/hotel-financing/interest-only-loans.ts","197","OK","","Matthews Hotel Markets September 2026 rate sheet",""
"src/lib/data/answers/hotel-financing/interest-only-loans.ts","199","OK","","Matthews Hotel Markets",""
"src/lib/data/answers/hotel-financing/interest-only-loans.ts","239","OK","","Matthews Hotel Markets compares interest-only and amortizing quotes over the owner's actual hold period, balloon included, before recommending either.",""
"src/lib/data/answers/hotel-financing/lenders-under-5-million.ts","42","OK","","Our rate sheet calls conventional bank and credit union debt the most common source of hotel debt under $15 million.[3] Under $5 million the SBA programs join it, because the 7(a) loan cap and the 504 hotel debenture cap both sit at $5 million.[1][4] Nearly all of this debt is recourse.",""
"src/lib/data/answers/hotel-financing/lenders-under-5-million.ts","62","OK","","Neither type publishes its DSCR floor, leverage limit or spread, so our rate sheet marks those cells not yet published.[3] Expect a personal guaranty, a shorter fixed period than the amortization, and a deposit relationship.",""
"src/lib/data/answers/hotel-financing/lenders-under-5-million.ts","126","OK","","Matthews Hotel Markets' September 2026 rate sheet shows the two published small-balance benchmarks: a 10.00% maximum allowable rate on SBA 7(a) loans over $350,000, which is the 7.00% Prime effective September 17, 2026 plus SBA's 3.00% cap, and 6.54% on the 25-year SBA 504 debenture priced September 10, 2026.",""
"src/lib/data/answers/hotel-financing/lenders-under-5-million.ts","183","OK","","Matthews Hotel Markets September 2026 rate sheet",""
"src/lib/data/answers/hotel-financing/lenders-under-5-million.ts","185","OK","","Matthews Hotel Markets",""
"src/lib/data/answers/hotel-financing/lenders-under-5-million.ts","296","OK","","Matthews Hotel Markets arranges SBA 7(a), SBA 504 and conventional hotel debt and compares them side by side, because the program that fits is rarely the first one a buyer calls.",""
