prompt,intent,stage,cluster,target_url,priority,citation_likely,why_we_can_win,notes
What's the hotel investment market like in San Antonio in 2026?,informational,learn,Markets,/markets/san-antonio-tx,3,N,"Wide open, no strong incumbent","pattern E, prior sprint"
"Where can I find a hotel for sale in Nashville, TN?",local,act,Markets,/markets/nashville-tn,2,Y,Existing /markets/nashville-tn page; Matthews REIS parent HQ; provenance lift,carried forward from priority-targets.md pattern A
"Who is the best hotel broker in Nashville, TN?",local,compare,Markets,/markets/nashville-tn,2,N,Matthews REIS parent HQ; provenance lift; needs broker-comparison content on the market page,"pattern B, prior sprint"
What are hotel cap rates like in Nashville right now?,informational,learn,Markets,/markets/nashville-tn,2,N,Original data point on market page (RevPAR/cap rate) is the citable sentence,"pattern D, prior sprint"
What's the hotel investment market like in Nashville in 2026?,informational,learn,Markets,/markets/nashville-tn,3,N,Matthews REIS parent HQ; provenance lift,"pattern E, prior sprint"
"Where can I find a hotel for sale in Atlanta, GA?",local,act,Markets,/markets/atlanta-ga,2,N,Existing /markets/atlanta-ga page; Hunter Hotel Conference context,carried forward from priority-targets.md pattern A
"Who is the best hotel broker in Atlanta, GA?",local,compare,Markets,/markets/atlanta-ga,2,N,Hunter Hotel Conference context; needs broker-comparison content on the market page,"pattern B, prior sprint"
What are hotel cap rates like in Atlanta right now?,informational,learn,Markets,/markets/atlanta-ga,2,N,Original data point on market page (RevPAR/cap rate) is the citable sentence,"pattern D, prior sprint"
What's the hotel investment market like in Atlanta in 2026?,informational,learn,Markets,/markets/atlanta-ga,3,N,Hunter Hotel Conference context,"pattern E, prior sprint"
"Where can I find a hotel for sale in Charleston, SC?",local,act,Markets,/markets/charleston-sc,2,N,Existing /markets/charleston-sc page; Boutique/lifestyle tilt,carried forward from priority-targets.md pattern A
"Who is the best hotel broker in Charleston, SC?",local,compare,Markets,/markets/charleston-sc,2,N,Boutique/lifestyle tilt; needs broker-comparison content on the market page,"pattern B, prior sprint"
What are hotel cap rates like in Charleston right now?,informational,learn,Markets,/markets/charleston-sc,2,N,Original data point on market page (RevPAR/cap rate) is the citable sentence,"pattern D, prior sprint"
What's the hotel investment market like in Charleston in 2026?,informational,learn,Markets,/markets/charleston-sc,3,N,Boutique/lifestyle tilt,"pattern E, prior sprint"
"Where can I find a hotel for sale in Savannah, GA?",local,act,Markets,/markets/savannah-ga,2,N,"Existing /markets/savannah-ga page; Lifestyle/coastal, wide open",carried forward from priority-targets.md pattern A
"Who is the best hotel broker in Savannah, GA?",local,compare,Markets,/markets/savannah-ga,2,N,"Lifestyle/coastal, wide open; needs broker-comparison content on the market page","pattern B, prior sprint"
What are hotel cap rates like in Savannah right now?,informational,learn,Markets,/markets/savannah-ga,2,N,Original data point on market page (RevPAR/cap rate) is the citable sentence,"pattern D, prior sprint"
What's the hotel investment market like in Savannah in 2026?,informational,learn,Markets,/markets/savannah-ga,3,N,"Lifestyle/coastal, wide open","pattern E, prior sprint"
"Where can I find a hotel for sale in Charlotte, NC?",local,act,Markets,/markets/charlotte-nc,2,N,"Existing /markets/charlotte-nc page; Wide open, growth market",carried forward from priority-targets.md pattern A
"Who is the best hotel broker in Charlotte, NC?",local,compare,Markets,/markets/charlotte-nc,2,N,"Wide open, growth market; needs broker-comparison content on the market page","pattern B, prior sprint"
What are hotel cap rates like in Charlotte right now?,informational,learn,Markets,/markets/charlotte-nc,2,N,Original data point on market page (RevPAR/cap rate) is the citable sentence,"pattern D, prior sprint"
What's the hotel investment market like in Charlotte in 2026?,informational,learn,Markets,/markets/charlotte-nc,3,N,"Wide open, growth market","pattern E, prior sprint"
"Where can I find a hotel for sale in Phoenix, AZ?",local,act,Markets,/markets/phoenix-az,2,N,Existing /markets/phoenix-az page; Sun Belt growth narrative,carried forward from priority-targets.md pattern A
"Who is the best hotel broker in Phoenix, AZ?",local,compare,Markets,/markets/phoenix-az,2,N,Sun Belt growth narrative; needs broker-comparison content on the market page,"pattern B, prior sprint"
What are hotel cap rates like in Phoenix right now?,informational,learn,Markets,/markets/phoenix-az,2,N,Original data point on market page (RevPAR/cap rate) is the citable sentence,"pattern D, prior sprint"
What's the hotel investment market like in Phoenix in 2026?,informational,learn,Markets,/markets/phoenix-az,3,N,Sun Belt growth narrative,"pattern E, prior sprint"
"Where can I find a hotel for sale in Denver, CO?",local,act,Markets,/markets/denver-co,2,Y,Existing /markets/denver-co page; Matthews 2nd office; provenance lift,carried forward from priority-targets.md pattern A
"Who is the best hotel broker in Denver, CO?",local,compare,Markets,/markets/denver-co,2,N,Matthews 2nd office; provenance lift; needs broker-comparison content on the market page,"pattern B, prior sprint"
What are hotel cap rates like in Denver right now?,informational,learn,Markets,/markets/denver-co,2,N,Original data point on market page (RevPAR/cap rate) is the citable sentence,"pattern D, prior sprint"
What's the hotel investment market like in Denver in 2026?,informational,learn,Markets,/markets/denver-co,3,N,Matthews 2nd office; provenance lift,"pattern E, prior sprint"
"Where can I find a hotel for sale in Miami, FL?",local,act,Markets,/markets/miami-fl,2,N,"Existing /markets/miami-fl page; High-comp incumbents, harder to win top slot",carried forward from priority-targets.md pattern A
"Who is the best hotel broker in Miami, FL?",local,compare,Markets,/markets/miami-fl,2,N,"High-comp incumbents, harder to win top slot; needs broker-comparison content on the market page","pattern B, prior sprint"
What are hotel cap rates like in Miami right now?,informational,learn,Markets,/markets/miami-fl,2,N,Original data point on market page (RevPAR/cap rate) is the citable sentence,"pattern D, prior sprint"
What's the hotel investment market like in Miami in 2026?,informational,learn,Markets,/markets/miami-fl,3,N,"High-comp incumbents, harder to win top slot","pattern E, prior sprint"
"Where can I find a hotel for sale in Tampa, FL?",local,act,Markets,/markets/tampa-fl,2,N,Existing /markets/tampa-fl page; Wide open,carried forward from priority-targets.md pattern A
"Who is the best hotel broker in Tampa, FL?",local,compare,Markets,/markets/tampa-fl,2,N,Wide open; needs broker-comparison content on the market page,"pattern B, prior sprint"
What are hotel cap rates like in Tampa right now?,informational,learn,Markets,/markets/tampa-fl,2,N,Original data point on market page (RevPAR/cap rate) is the citable sentence,"pattern D, prior sprint"
What's the hotel investment market like in Tampa in 2026?,informational,learn,Markets,/markets/tampa-fl,3,N,Wide open,"pattern E, prior sprint"
"Where can I find a hotel for sale in Orlando, FL?",local,act,Markets,/markets/orlando-fl,2,N,Existing /markets/orlando-fl page; Theme-park demand narrative,carried forward from priority-targets.md pattern A
"Who is the best hotel broker in Orlando, FL?",local,compare,Markets,/markets/orlando-fl,2,N,Theme-park demand narrative; needs broker-comparison content on the market page,"pattern B, prior sprint"
What are hotel cap rates like in Orlando right now?,informational,learn,Markets,/markets/orlando-fl,2,N,Original data point on market page (RevPAR/cap rate) is the citable sentence,"pattern D, prior sprint"
What's the hotel investment market like in Orlando in 2026?,informational,learn,Markets,/markets/orlando-fl,3,N,Theme-park demand narrative,"pattern E, prior sprint"
"Which Matthews Hotel Markets office covers my property, Austin or Denver?",brand,learn,Markets,/offices/austin,3,Y,Existing /offices/[slug] pages; direct entity match,new
Does Matthews Hotel Markets do business outside Texas and Colorado?,brand,learn,Markets,/,3,Y,Footer says Austin/Denver/national investor reach,new
What is Matthews Hotel Markets?,brand,learn,Brand (Matthews),/,1,Y,Direct entity-definition query; homepage should answer in 40-70 words,carried forward/extended from query-universe.md LLM section
Is Matthews Hotel Markets part of Matthews Real Estate Investment Services?,brand,learn,Brand (Matthews),/,1,Y,Verified fact; easy authoritative answer,carried forward/extended from query-universe.md LLM section
Who are the people on the Matthews Hotel Markets team?,brand,learn,Brand (Matthews),/team,2,Y,"Existing /team roster, real names only",carried forward/extended from query-universe.md LLM section
Who is Luke Thompson at Matthews Hotel Markets?,brand,learn,Brand (Matthews),/team/luke-thompson,2,Y,Existing team page,carried forward/extended from query-universe.md LLM section
Who is Miles Cortez at Matthews Hotel Markets?,brand,learn,Brand (Matthews),/team/miles-cortez,2,Y,Existing team page,carried forward/extended from query-universe.md LLM section
Who is Nate Solomon at Matthews Hotel Markets?,brand,learn,Brand (Matthews),/team/nate-solomon,2,Y,Existing team page,carried forward/extended from query-universe.md LLM section
What hotel deals has Matthews Hotel Markets closed?,brand,learn,Brand (Matthews),/closed,1,Y,"Existing /closed with real named deals (26-Hotel Portfolio, Courtyard Lake Charles, etc.)",carried forward/extended from query-universe.md LLM section
Has Matthews Hotel Markets closed any Marriott-branded hotel deals?,brand,compare,Brand (Matthews),/closed,2,Y,"Real closed.ts entries: Courtyard Lake Charles, Marriott 2-Pack Del Mar, Full Service Marriott Fort Collins",carried forward/extended from query-universe.md LLM section
Has Matthews Hotel Markets closed any Hampton Inn deals?,brand,compare,Brand (Matthews),/closed,2,Y,"Real closed.ts entries: Hampton Inn Portfolio Atlanta, Hampton + Home2 Suites Austin, Hampton Inn Beaumont",carried forward/extended from query-universe.md LLM section
What hotel brands does Matthews Hotel Markets sell?,brand,learn,Brand (Matthews),/hotels-for-sale,2,Y,Existing /hotels-for-sale/[brand] index,carried forward/extended from query-universe.md LLM section
What services does Matthews Hotel Markets offer?,brand,learn,Brand (Matthews),/,1,Y,"Existing /services/* pages: investment sales, capital markets, acquisition advisory",carried forward/extended from query-universe.md LLM section
Does Matthews Hotel Markets do hotel investment sales?,brand,learn,Brand (Matthews),/services/investment-sales,1,Y,Existing service page,carried forward/extended from query-universe.md LLM section
Does Matthews Hotel Markets do hotel capital markets and debt placement?,brand,learn,Brand (Matthews),/services/capital-markets,1,Y,Existing service page,carried forward/extended from query-universe.md LLM section
Does Matthews Hotel Markets help buyers with acquisition advisory?,brand,learn,Brand (Matthews),/services/acquisition-advisory,2,Y,Existing service page,carried forward/extended from query-universe.md LLM section
How do I contact Matthews Hotel Markets?,transactional,act,Brand (Matthews),/contact,1,Y,Existing contact page/flow - do not touch,carried forward/extended from query-universe.md LLM section
Where is Matthews Hotel Markets located?,brand,learn,Brand (Matthews),/offices/austin,2,Y,"515 Congress Ave, Suite 2410, Austin TX 78701",carried forward/extended from query-universe.md LLM section
Does Matthews Hotel Markets have a Denver office?,brand,learn,Brand (Matthews),/offices/denver,2,N,Verify real Denver street address before overclaiming,carried forward/extended from query-universe.md LLM section
What is the Matthews Hotel Index (MHI)?,brand,learn,Brand (Matthews),/research/mhi,2,Y,"Existing /research/mhi hub, real product name",carried forward/extended from query-universe.md LLM section
Where can I read Matthews Hotel Markets' Q1 2026 research?,brand,learn,Brand (Matthews),/research/mhi/q1-2026,2,Y,Existing quarterly report route,carried forward/extended from query-universe.md LLM section
What is Matthews Hotel Markets' LinkedIn page?,brand,learn,Brand (Matthews),/,3,Y,linkedin.com/company/matthews-hotel-markets/,carried forward/extended from query-universe.md LLM section
Is Matthews Hotel Markets a licensed real estate brokerage?,brand,learn,Brand (Matthews),/,3,N,No public licensing data in repo; needs sourced answer or 'no data',carried forward/extended from query-universe.md LLM section
How big is Matthews Real Estate Investment Services as a company?,brand,learn,Brand (Matthews),/,3,N,llms.txt cumulative volume figures are internally contradictory ($84.3B vs $88.37B) - do not cite until Agent 1/3 reconcile,carried forward/extended from query-universe.md LLM section
Who should I use to sell my Hampton Inn in Texas?,category,compare,Choosing a broker,/services/investment-sales,1,N,Brand+geo+transactional combo; wide open per prior sprint,carried forward from query-universe.md sections 1/6
Recommend a broker for a select-service hotel disposition under $50M.,category,compare,Choosing a broker,/services/investment-sales,1,N,Deal-size-specific transactional prompt,carried forward from query-universe.md sections 1/6
What hotel brokerage has the deepest Sun Belt coverage?,category,compare,Choosing a broker,/services/investment-sales,2,N,Matthews' actual geographic footprint is Sun Belt-leaning,carried forward from query-universe.md sections 1/6
How do I choose a hotel broker?,informational,learn,Choosing a broker,/services/investment-sales,1,N,"Classic decision-criteria informational prompt, un-owned per prior sprint SERP audit",carried forward from query-universe.md sections 1/6
What's the difference between a hotel broker and a business broker?,informational,learn,Choosing a broker,/services/investment-sales,3,N,Definitional; low competition,carried forward from query-universe.md sections 1/6
What's the difference between a hotel broker's opinion of value and a formal appraisal?,informational,learn,Choosing a broker,/services/investment-sales,2,Y,Existing /glossary/bov term to anchor,carried forward from query-universe.md sections 1/6
Should I use a national hotel brokerage or a local one?,informational,compare,Choosing a broker,/services/investment-sales,3,N,Trade-off framing prompt,carried forward from query-universe.md sections 1/6
Compare JLL Hotels vs Hunter Hotel Advisors vs Marcus & Millichap.,category,compare,Choosing a broker,/services/investment-sales,2,N,"Comparison-set inclusion prompt; must be factual, no fabricated claims about Matthews",carried forward from query-universe.md sections 1/6
How does Matthews Hotel Markets compare to HVS Brokerage?,category,compare,Choosing a broker,/services/investment-sales,2,N,"Comparison prompt; answer only with sourced facts, no invented rankings",carried forward from query-universe.md sections 1/6
What questions should I ask a hotel broker before hiring them?,informational,learn,Choosing a broker,/services/investment-sales,2,N,Checklist-style prompt fits FAQ format well,carried forward from query-universe.md sections 1/6
Do hotel brokers charge a retainer or only a success fee?,informational,learn,Choosing a broker,/services/investment-sales,3,N,Fee-structure informational prompt,carried forward from query-universe.md sections 1/6
What's a typical hotel broker commission?,informational,learn,Choosing a broker,/services/investment-sales,2,N,High-volume informational query per prior sprint (M vol),carried forward from query-universe.md sections 1/6
Who handles middle-market hotel investment sales in Austin?,local,compare,Choosing a broker,/services/investment-sales,1,N,Geo+category combo; Matthews HQ market,carried forward from query-universe.md sections 1/6
Best hotel broker for boutique resort assets in Texas Hill Country.,category,compare,Choosing a broker,/services/investment-sales,3,N,Long-tail niche; wide open,carried forward from query-universe.md sections 1/6
How do I sell a hotel I own?,informational,learn,Selling a hotel,/sell-a-hotel,1,N,Core how-to; proposed new hub per confirmed-missing /sell-a-hotel/* cluster,"carried forward from query-universe.md sections 1/4/5, retargeted to new /sell-a-hotel hub"
What's the step-by-step process for selling a hotel?,informational,learn,Selling a hotel,/sell-a-hotel/process,1,N,Process breakdown answers the 300-word test well,"carried forward from query-universe.md sections 1/4/5, retargeted to new /sell-a-hotel hub"
How long does it take to sell a hotel through a broker?,informational,learn,Selling a hotel,/sell-a-hotel/timeline,1,N,"Timeline is a concrete, citable number if sourced from real deal data","carried forward from query-universe.md sections 1/4/5, retargeted to new /sell-a-hotel hub"
What documents do I need to sell my hotel?,informational,learn,Selling a hotel,/sell-a-hotel/documents-needed,2,N,Deal-docs checklist; pairs with underwriting cluster,"carried forward from query-universe.md sections 1/4/5, retargeted to new /sell-a-hotel hub"
What's a confidential hotel sale process and how does it work?,informational,learn,Selling a hotel,/sell-a-hotel/confidential-sale-process,2,N,Niche but high-opportunity per prior sprint,"carried forward from query-universe.md sections 1/4/5, retargeted to new /sell-a-hotel hub"
Should I sell my hotel now or wait until next year?,informational,learn,Selling a hotel,/sell-a-hotel/when-to-sell,2,N,"Timing question requires sourced market data (rate environment), not opinion","carried forward from query-universe.md sections 1/4/5, retargeted to new /sell-a-hotel hub"
"I own a 78-key Hampton Inn in Georgia, loan matures next year — what are my options?",category,act,Selling a hotel,/hotel-financing/refinance-vs-sell,1,N,Composite scenario prompt Agent 5 should build a page for; ties financing + sale decision,"carried forward from query-universe.md sections 1/4/5, retargeted to new /sell-a-hotel hub"
What's a hotel broker opinion of value (BOV) and how is it different from a lender appraisal?,informational,learn,Selling a hotel,/glossary/bov,1,Y,Existing glossary term; direct answer available today,"carried forward from query-universe.md sections 1/4/5, retargeted to new /sell-a-hotel hub"
How much does it cost to sell a hotel through a broker?,informational,learn,Selling a hotel,/sell-a-hotel/broker-fees,2,N,"Fee-transparency prompt, high trust value if answered plainly","carried forward from query-universe.md sections 1/4/5, retargeted to new /sell-a-hotel hub"
Can I sell my hotel without a broker?,informational,learn,Selling a hotel,/sell-a-hotel/process,3,N,FSBO comparison angle,"carried forward from query-universe.md sections 1/4/5, retargeted to new /sell-a-hotel hub"
What happens to my staff and franchise agreement when I sell my hotel?,informational,learn,Selling a hotel,/sell-a-hotel/franchise-transfer,3,N,"Franchise-transfer sub-question, ties to PIP/brand cluster","carried forward from query-universe.md sections 1/4/5, retargeted to new /sell-a-hotel hub"
How do I get a confidential valuation on my hotel before deciding to sell?,transactional,act,Selling a hotel,/contact,2,Y,Existing contact flow is the correct CTA; do not build a new form,"carried forward from query-universe.md sections 1/4/5, retargeted to new /sell-a-hotel hub"
What's the difference between an OM/CIM and a BOV?,informational,learn,Selling a hotel,/glossary/bov,3,Y,Existing glossary anchor,"carried forward from query-universe.md sections 1/4/5, retargeted to new /sell-a-hotel hub"
Do I need a 1031 exchange lined up before I sell my hotel?,informational,learn,Selling a hotel,/sell-a-hotel/1031-timing,2,N,Bridges Selling and Buying/1031 clusters,"carried forward from query-universe.md sections 1/4/5, retargeted to new /sell-a-hotel hub"
What's the best time of year to list a hotel for sale?,informational,learn,Selling a hotel,/sell-a-hotel/process,3,N,"Seasonality question, needs real data or 'no data' answer","carried forward from query-universe.md sections 1/4/5, retargeted to new /sell-a-hotel hub"
How do you value a hotel?,informational,learn,Valuation & cap rates,/hotel-valuation,1,N,Anchor pillar; HVS/EHL dominate today per prior SERP audit,"carried forward from query-universe.md section 4, retargeted to /hotel-valuation hub + existing glossary"
What is the income approach to hotel valuation?,informational,learn,Valuation & cap rates,/hotel-valuation/income-approach,2,N,Sub-question H2 under valuation pillar,"carried forward from query-universe.md section 4, retargeted to /hotel-valuation hub + existing glossary"
What's a good cap rate for a hotel in 2026?,informational,learn,Valuation & cap rates,/hotel-valuation/cap-rates,1,N,"Needs a real sourced number from /rates or a cited HVS/CoStar release, not invented","carried forward from query-universe.md section 4, retargeted to /hotel-valuation hub + existing glossary"
What are cap rates by hotel segment (select-service vs full-service vs luxury)?,informational,learn,Valuation & cap rates,/hotel-valuation/cap-rates,2,N,Segment table is the comparison-table requirement in Spec 5.1,"carried forward from query-universe.md section 4, retargeted to /hotel-valuation hub + existing glossary"
"What's the difference between a hotel's ADR, RevPAR, and occupancy?",informational,learn,Valuation & cap rates,/glossary/revpar,1,Y,"Existing glossary terms: adr, revpar; easy win","carried forward from query-universe.md section 4, retargeted to /hotel-valuation hub + existing glossary"
How does a hotel PIP (property improvement plan) affect its value?,informational,learn,Valuation & cap rates,/glossary/pip,1,Y,Existing /glossary/pip anchor; also HUMAN_QUEUE PIP-overhang topic,"carried forward from query-universe.md section 4, retargeted to /hotel-valuation hub + existing glossary"
What's the difference between a hotel appraisal and a broker's opinion of value?,informational,learn,Valuation & cap rates,/glossary/bov,2,Y,Existing glossary anchor,"carried forward from query-universe.md section 4, retargeted to /hotel-valuation hub + existing glossary"
How do I calculate NOI for a hotel?,informational,learn,Valuation & cap rates,/hotel-valuation/how-to-value-a-hotel,2,N,Worked-example requirement in Spec 5.1 fits naturally here,"carried forward from query-universe.md section 4, retargeted to /hotel-valuation hub + existing glossary"
What's the going-concern value of a hotel and why does it matter?,informational,learn,Valuation & cap rates,/hotel-valuation/income-approach,3,N,Niche definitional term,"carried forward from query-universe.md section 4, retargeted to /hotel-valuation hub + existing glossary"
Walk me through the math on valuing a select-service hotel.,informational,learn,Valuation & cap rates,/hotel-valuation/how-to-value-a-hotel,1,N,Direct match to Spec 5.1's worked-example requirement,"carried forward from query-universe.md section 4, retargeted to /hotel-valuation hub + existing glossary"
What's the sales comparison approach to hotel valuation?,informational,learn,Valuation & cap rates,/hotel-valuation/sales-comparison-approach,3,N,Sub-question H2,"carried forward from query-universe.md section 4, retargeted to /hotel-valuation hub + existing glossary"
How much does a PIP typically cost per room?,informational,learn,Valuation & cap rates,/glossary/pip,2,N,Needs a real sourced per-room PIP cost figure; do not invent one,"carried forward from query-universe.md section 4, retargeted to /hotel-valuation hub + existing glossary"
What is cap rate compression and why does it matter for hotel sellers?,informational,learn,Valuation & cap rates,/hotel-valuation/cap-rates,3,N,Ties valuation cluster to macro rate cluster,"carried forward from query-universe.md section 4, retargeted to /hotel-valuation hub + existing glossary"
How do rising interest rates affect hotel cap rates?,informational,learn,Valuation & cap rates,/hotel-valuation/cap-rates,2,N,Bridges valuation and financing clusters; needs FRED/Treasury sourcing,"carried forward from query-universe.md section 4, retargeted to /hotel-valuation hub + existing glossary"
What's the typical cap rate spread between Sun Belt and gateway-market hotels?,informational,compare,Valuation & cap rates,/hotel-valuation/cap-rates,3,N,"Long-tail; needs real cited spread, not invented","carried forward from query-universe.md section 4, retargeted to /hotel-valuation hub + existing glossary"
What is Matthews Hotel Markets' current view on hotel cap rates?,brand,learn,Valuation & cap rates,/research/mhi/q1-2026,2,Y,Existing quarterly research route; brand-attributed data point requirement in Spec 5.1,"carried forward from query-universe.md section 4, retargeted to /hotel-valuation hub + existing glossary"
Can I get an SBA loan to buy a hotel?,informational,learn,Loan types (SBA/CMBS/bridge/bank/life co),/hotel-financing/sba-loans,1,N,High-frequency AAHOA/owner-operator question,new — financing cluster not covered by prior 2026-05-10 sprint
What's the difference between an SBA 7(a) loan and an SBA 504 loan for a hotel?,informational,learn,Loan types (SBA/CMBS/bridge/bank/life co),/hotel-financing/sba-loans,1,N,"Definitional, comparison-table-friendly",new — financing cluster not covered by prior 2026-05-10 sprint
What is a CMBS loan and how does it work for hotels?,informational,learn,Loan types (SBA/CMBS/bridge/bank/life co),/hotel-financing/cmbs-loans,1,N,Ties directly to distress/maturity cluster,new — financing cluster not covered by prior 2026-05-10 sprint
What's a bridge loan and when should a hotel owner use one?,informational,learn,Loan types (SBA/CMBS/bridge/bank/life co),/hotel-financing/bridge-loans,2,N,Use-case framing,new — financing cluster not covered by prior 2026-05-10 sprint
What's the difference between a bank loan and a life insurance company loan for a hotel?,informational,learn,Loan types (SBA/CMBS/bridge/bank/life co),/hotel-financing/life-company-loans,2,N,Comparison table candidate,new — financing cluster not covered by prior 2026-05-10 sprint
What down payment do I need for an SBA hotel loan?,informational,learn,Loan types (SBA/CMBS/bridge/bank/life co),/hotel-financing/sba-loans,2,N,Concrete number question; needs SBA.gov sourcing,new — financing cluster not covered by prior 2026-05-10 sprint
What credit score do I need to get a hotel loan?,informational,learn,Loan types (SBA/CMBS/bridge/bank/life co),/hotel-financing/sba-loans,3,N,Owner-operator FAQ pattern,new — financing cluster not covered by prior 2026-05-10 sprint
Can I use a CMBS loan to buy a limited-service hotel?,informational,learn,Loan types (SBA/CMBS/bridge/bank/life co),/hotel-financing/cmbs-loans,3,N,Sub-question,new — financing cluster not covered by prior 2026-05-10 sprint
What's a typical hotel loan interest rate right now?,informational,learn,Loan types (SBA/CMBS/bridge/bank/life co),/rates,1,N,Direct match to Agent 8's /rates route; needs live rate sheet,new — financing cluster not covered by prior 2026-05-10 sprint
"Who are the biggest hotel lenders (banks, life cos, CMBS shops)?",informational,learn,Loan types (SBA/CMBS/bridge/bank/life co),/hotel-financing,2,N,"Lender-landscape overview, hub-level content",new — financing cluster not covered by prior 2026-05-10 sprint
What loan-to-value ratio can I get on a hotel purchase?,informational,learn,Loan types (SBA/CMBS/bridge/bank/life co),/hotel-financing,2,N,Concrete underwriting number,new — financing cluster not covered by prior 2026-05-10 sprint
What's a debt service coverage ratio (DSCR) and why does it matter for hotel loans?,informational,learn,Loan types (SBA/CMBS/bridge/bank/life co),/hotel-financing,2,N,Definitional; also a glossary candidate for Agent 5/3,new — financing cluster not covered by prior 2026-05-10 sprint
Can a hotel with low occupancy still qualify for financing?,informational,learn,Loan types (SBA/CMBS/bridge/bank/life co),/hotel-financing,3,N,Distress-adjacent FAQ,new — financing cluster not covered by prior 2026-05-10 sprint
What's the minimum loan size hotel lenders will do?,informational,learn,Loan types (SBA/CMBS/bridge/bank/life co),/hotel-financing,3,N,Owner-operator FAQ,new — financing cluster not covered by prior 2026-05-10 sprint
Do hotel loans require a franchise comfort letter?,informational,learn,Loan types (SBA/CMBS/bridge/bank/life co),/hotel-financing,3,N,"Niche but real underwriting question, ties to PIP/brand cluster",new — financing cluster not covered by prior 2026-05-10 sprint
My hotel loan matures next year — what are my refinance options?,category,act,Refinance process,/hotel-financing/refinance-process,1,N,Composite owner-scenario prompt; highest lead-value in financing cluster,new — financing cluster not covered by prior 2026-05-10 sprint
How do I refinance a hotel loan before it matures?,informational,learn,Refinance process,/hotel-financing/refinance-process,1,N,Direct how-to,new — financing cluster not covered by prior 2026-05-10 sprint
What's a hotel loan maturity checklist I should work through 12 months out?,informational,act,Refinance process,/hotel-financing/loan-requirements,2,N,Checklist format matches Spec 5.1's key-takeaways structure,new — financing cluster not covered by prior 2026-05-10 sprint
Can I refinance a hotel loan if my occupancy dropped after COVID?,informational,learn,Refinance process,/hotel-financing/refinance-process,3,N,Distress-adjacent,new — financing cluster not covered by prior 2026-05-10 sprint
What documents do lenders want for a hotel refinance?,informational,learn,Refinance process,/hotel-financing/loan-requirements,2,N,Direct match to brief's example URL /hotel-financing/loan-requirements,new — financing cluster not covered by prior 2026-05-10 sprint
How much equity do I need to refinance my hotel?,informational,learn,Refinance process,/hotel-financing/refinance-process,2,N,Concrete underwriting number,new — financing cluster not covered by prior 2026-05-10 sprint
What happens if I can't refinance my hotel loan when it matures?,informational,learn,Refinance process,/hotel-financing/loan-workouts,2,N,Bridges to distress cluster,new — financing cluster not covered by prior 2026-05-10 sprint
