prompt,rank,domain,url,page_type
Who are the hotel brokers at Matthews REIS?,9,cbinsights.com,https://www.cbinsights.com/investor/matthews-real-estate-investment-services,data_profile
Who are the hotel brokers at Matthews REIS?,10,careerbuilder.com,https://www.careerbuilder.com/job-details/internship-real-estate-brokerage-charlotte-nc--e704f2d3-f998-4f25-9ebc-3afbccb78626,job_listing
What is the Matthews hotel loan rate sheet?,1,matthews.com,https://www.matthews.com/rising-cmbs-loan-maturities-in-hospitality/,insights_article
What is the Matthews hotel loan rate sheet?,2,matthews.com,https://www.matthews.com/insights/hotel-delinquency,insights_article
What is the Matthews hotel loan rate sheet?,3,kayak.com,https://www.kayak.com/Matthews-Hotels.2592.hotel.ksp,unrelated_ota_matthews_nc
What is the Matthews hotel loan rate sheet?,4,booking.com,https://www.booking.com/city/us/matthews.html,unrelated_ota_matthews_nc
What is the Matthews hotel loan rate sheet?,5,totalmortgage.com,https://www.totalmortgage.com/locations/state/NC/mortgage-rates/matthews,unrelated_mortgage_matthews_nc
What is the Matthews hotel loan rate sheet?,6,matthews.com,https://www.matthews.com/the-matthews-podcast-13-understanding-rate-locks/,podcast
What is the Matthews hotel loan rate sheet?,7,matthewshotelmarkets.com,https://matthewshotelmarkets.com/,homepage
What is the Matthews hotel loan rate sheet?,8,tripadvisor.com,https://www.tripadvisor.com/Hotels-g49330-Matthews_North_Carolina-Hotels.html,unrelated_ota_matthews_nc
What is the Matthews hotel loan rate sheet?,9,vacationhomerents.com,https://www.vacationhomerents.com/extended-stay-hotels-matthews-nc,unrelated_ota_matthews_nc
Matthews Hotel Markets closed deals,1,matthews.com,https://www.matthews.com/success_stories/how-matthews-unlocked-lifeco-capital-for-a-small-market-hotel,success_story
Matthews Hotel Markets closed deals,2,matthews.com,https://www.matthews.com/insights/how-owners-are-leaving-millions-on-the-table-north-carolina-hotel,insights_article
Matthews Hotel Markets closed deals,3,matthews.com,https://www.matthews.com/success_stories/how-matthews-closed-a-competitive-hotel-sale-amid-market-uncertainty,success_story
Matthews Hotel Markets closed deals,4,matthews.com,https://www.matthews.com/press-release/matthews-capital-markets-q3,press_release
Matthews Hotel Markets closed deals,5,matthews.com,https://www.matthews.com/press-release/matthews-closes-courtyard-by-marriott-sale-for-12m,press_release
Matthews Hotel Markets closed deals,6,matthews.com,https://www.matthews.com/market_insights/2026-hospitality-outlook,market_report
Matthews Hotel Markets closed deals,7,matthewshotelmarkets.com,https://matthewshotelmarkets.com/,homepage
Matthews Hotel Markets closed deals,8,matthews.com,https://www.matthews.com/services/investment-sales/hospitality,service_page
Matthews Hotel Markets closed deals,9,traded.co,https://traded.co/company/matthews/,data_profile
Matthews Hotel Markets closed deals,10,trip.com,https://trip.com/hotels/city/us/matthews.html,unrelated_ota_matthews_nc
Matthews Hotel Markets reviews,1,tripadvisor.com,https://www.tripadvisor.com/Tourism-g49330-Matthews_North_Carolina-Vacations.html,unrelated_ota_matthews_nc
Matthews Hotel Markets reviews,2,booking.com,https://www.booking.com/city/us/matthews.html,unrelated_ota_matthews_nc
Matthews Hotel Markets reviews,3,matthews.com,https://www.matthews.com/success_stories/how-matthews-closed-a-competitive-hotel-sale-amid-market-uncertainty,success_story
Matthews Hotel Markets reviews,4,kayak.com,https://www.kayak.com/Matthews-Hotels.2592.hotel.ksp,unrelated_ota_matthews_nc
Matthews Hotel Markets reviews,5,tripadvisor.com,https://www.tripadvisor.com/Hotels-g49330-Matthews_North_Carolina-Hotels.html,unrelated_ota_matthews_nc
Matthews Hotel Markets reviews,6,matthews.com,https://www.matthews.com/market_insights/top-national-hospitality-markets,market_report
Matthews Hotel Markets reviews,7,hotels.com,https://www.hotels.com/de1424870/hotels-matthews-north-carolina/,unrelated_ota_matthews_nc
Matthews Hotel Markets reviews,8,expedia.com,https://www.expedia.com/Matthews-Hotels.d10417.Travel-Guide-Hotels,unrelated_ota_matthews_nc
Matthews Hotel Markets reviews,9,matthewshotelmarkets.com,https://matthewshotelmarkets.com/,homepage
Which brokerage sold the Hampton Inn portfolio in Atlanta?,1,hotel-online.com,https://www.hotel-online.com/news/tara-investments-sells-hampton-inn-suites-nashville-airport-to-image-hotels,trade_press
Which brokerage sold the Hampton Inn portfolio in Atlanta?,2,lodgingmagazine.com,https://lodgingmagazine.com/hunter-hotel-advisors-facilitates-sale-of-hampton-inn-suites-nashville-airport/,trade_press
Which brokerage sold the Hampton Inn portfolio in Atlanta?,3,hotelbusiness.com,https://www.hotelbusiness.com/transactions-heat-up-hospitality-2/,trade_press
Which brokerage sold the Hampton Inn portfolio in Atlanta?,4,hotelnewsresource.com,https://www.hotelnewsresource.com/article116709.html,trade_press
Which brokerage sold the Hampton Inn portfolio in Atlanta?,5,hotelbusiness.com,https://hotelbusiness.com/four-properties-change-hands/,trade_press
Which brokerage sold the Hampton Inn portfolio in Atlanta?,6,hoodline.com,https://hoodline.com/2026/04/downtown-st-louis-hampton-inn-at-the-arch-quietly-hits-the-market/,trade_press
Which brokerage sold the Hampton Inn portfolio in Atlanta?,7,prnewswire.com,https://www.prnewswire.com/news-releases/hodges-ward-elliott-brokers-sale-of-hampton-inn-athens-301555701.html,press_release
Which brokerage sold the Hampton Inn portfolio in Atlanta?,8,applehospitalityreit.com,https://ir.applehospitalityreit.com/News/news-details/2018/Apple-Hospitality-REIT-Acquires-Hampton-Inn--Suites-by-Hilton-Atlanta-Downtown-and-Hampton-Inn--Suites-by-Hilton-Memphis-Beale-Street/default.aspx,press_release
Which brokerage sold the Hampton Inn portfolio in Atlanta?,9,en.wikipedia.org,https://en.wikipedia.org/wiki/Hampton_by_Hilton,wiki
Who should I talk to at Matthews about refinancing a hotel?,1,matthews.com,https://www.matthews.com/press-release/matthews-capital-markets-secures-4-7m-loan-for-hospitality-refinance/,press_release
Who should I talk to at Matthews about refinancing a hotel?,2,matthews.com,https://www.matthews.com/press-release/matthews-move-into-q2-with-strong-sales-refinancing-and-talent-momentum,press_release
Who should I talk to at Matthews about refinancing a hotel?,3,piperalderman.com.au,https://piperalderman.com.au/case-study/acquisition-and-restructuring-of-iconic-hospitality-group/,unrelated
Who should I talk to at Matthews about refinancing a hotel?,4,matthews.com,https://www.matthews.com/press-release/matthews-capital-markets-secures-8-7m-loan-for-multifamily-refinance,press_release
Who should I talk to at Matthews about refinancing a hotel?,5,hardmoneyhome.com,https://www.hardmoneyhome.com/cash-out-refinance/matthews-nc,unrelated_matthews_nc
Who should I talk to at Matthews about refinancing a hotel?,6,erate.com,https://www.erate.com/north-carolina/matthews-refinance-mortgage-and-city-info,unrelated_matthews_nc
Who should I talk to at Matthews about refinancing a hotel?,7,lendmire.com,https://www.lendmire.com/cash-out-refinance-investment-property-matthews-north-carolina/,unrelated_matthews_nc
Who should I talk to at Matthews about refinancing a hotel?,8,matthewshotelmarkets.com,https://matthewshotelmarkets.com/,homepage
Who should I talk to at Matthews about refinancing a hotel?,9,matthews.com,https://www.matthews.com/contact,contact_page
Who are the best hotel brokers in Texas?,1,cbre.com,https://www.cbre.com/people/michael-yu,agent_profile
Who are the best hotel brokers in Texas?,2,loopnet.com,https://www.loopnet.com/company/hotel-brokers-of-america/dallas-tx/5lc9nfml/,listing_directory
Who are the best hotel brokers in Texas?,3,texaslodging.com,https://texaslodging.com/vendors_category/hotel-brokers/,directory
Who are the best hotel brokers in Texas?,4,singhcommercialgroup.com,https://singhcommercialgroup.com/top-hotel-brokers-in-texas-for-buyers-and-sellers/,competitor_blog
Who are the best hotel brokers in Texas?,5,mghotelteam.com,https://mghotelteam.com/tags/texas,competitor_site
Who are the best hotel brokers in Texas?,6,singhcommercialgroup.com,https://singhcommercialgroup.com/,competitor_homepage
Who are the best hotel brokers in Texas?,7,en.wikipedia.org,https://en.wikipedia.org/wiki/Hotel_Texas,unrelated_wiki
Who are the best hotel brokers in Texas?,8,tabanirealty.com,https://www.tabanirealty.com/,competitor_homepage
Who are the best hotel brokers in Texas?,9,hotelbrokersinc.com,https://hotelbrokersinc.com/brokers/,competitor_directory
Top hotel investment sales brokerages in the US in 2026,1,lodgingdevelopment.com,https://lodgingdevelopment.com/hotel-industry-insights/transaction-intelligence/top-hotel-buyers,trade_press
Top hotel investment sales brokerages in the US in 2026,2,dshhoteladvisors.com,https://www.dshhoteladvisors.com/top-u-s-hotel-transactions-of-h1-2026/,competitor_blog
Top hotel investment sales brokerages in the US in 2026,3,hunteradvisors.co,https://hunteradvisors.co/,competitor_homepage
Top hotel investment sales brokerages in the US in 2026,4,berkadia.com,https://www.berkadia.com/specialties/hotels-hospitality/,competitor_service_page
Top hotel investment sales brokerages in the US in 2026,5,worldmetrics.org,https://worldmetrics.org/service/hotel-investment/,listicle
Top hotel investment sales brokerages in the US in 2026,6,hrec.com,https://hrec.com/,competitor_homepage
Top hotel investment sales brokerages in the US in 2026,7,marcusmillichap.com,https://www.marcusmillichap.com/services/property-types/hospitality,competitor_service_page
Top hotel investment sales brokerages in the US in 2026,8,wallstreetoasis.com,https://www.wallstreetoasis.com/forum/real-estate/hotel-investment-sales,forum
Top hotel investment sales brokerages in the US in 2026,9,newgenadv.com,https://newgenadv.com/,competitor_homepage
Who can help me refinance a hotel loan?,1,rangewell.com,https://rangewell.com/hotels/hotel-refinancing,lender_guide
Who can help me refinance a hotel loan?,2,sunwestbank.com,https://www.sunwestbank.com/hotel-lending/,lender_service_page
Who can help me refinance a hotel loan?,3,herringbank.com,https://www.herringbank.com/hospitality-lending/,lender_service_page
Who can help me refinance a hotel loan?,4,selectcommercial.com,https://selectcommercial.com/hotel-loan.php,lender_service_page
Who can help me refinance a hotel loan?,5,avanacapital.com,https://avanacapital.com/borrowing/hospitality/,lender_service_page
Who can help me refinance a hotel loan?,6,liveoak.bank,https://www.liveoak.bank/commercial/project-finance/real-estate/hospitality/,lender_service_page
Who can help me refinance a hotel loan?,7,htlha.com,https://www.htlha.com/hotel-investments/hotel-loans,advisor_service_page
Who can help me refinance a hotel loan?,8,privatecapitalinvestors.com,https://privatecapitalinvestors.com/how-to-build-buy-renovate-or-refinance-your-hotel/,lender_blog
Who can help me refinance a hotel loan?,9,coons.senate.gov,https://www.coons.senate.gov/commonwealth-connection/senator-coons-highlights-benefits-of-sba-commercial-refinancing-loan/,unrelated_gov
Best hotel debt placement advisors for a $10M loan,1,nav.com,https://www.nav.com/blog/hotel-loans-1362810/,lender_blog
Best hotel debt placement advisors for a $10M loan,2,nerdwallet.com,https://www.nerdwallet.com/business/loans/best/hotel-financing,listicle
Best hotel debt placement advisors for a $10M loan,3,ushoteladvisors.com,https://ushoteladvisors.com/,competitor_homepage
Best hotel debt placement advisors for a $10M loan,4,bridgemarketplace.com,https://www.bridgemarketplace.com/post/best-hotel-financing-companies,listicle
Best hotel debt placement advisors for a $10M loan,5,htlha.com,https://www.htlha.com/hotel-investments/hotel-loans,advisor_service_page
Best hotel debt placement advisors for a $10M loan,6,peersense.com,https://peersense.com/best-hotel-lenders-2026,listicle
Best hotel debt placement advisors for a $10M loan,7,bridgemarketplace.com,https://www.bridgemarketplace.com/post/top-7-hotel-acquisition-financing-options,listicle
Best hotel debt placement advisors for a $10M loan,8,en.wikipedia.org,https://en.wikipedia.org/wiki/Excellion_Capital,wiki
Best hotel debt placement advisors for a $10M loan,9,largocapital.com,https://largocapital.com/top-10-hotel-loan-factors/,lender_blog
Which brokers specialize in select-service hotel sales?,1,hotelbusiness.com,https://hotelbusiness.com/brokers-listing-2/,trade_press_directory
Which brokers specialize in select-service hotel sales?,2,hotelbrokerone.com,https://www.hotelbrokerone.com/,competitor_homepage
Which brokers specialize in select-service hotel sales?,3,crystalip.com,https://crystalip.com/hotel-brokers-international-recognizes-top-sales-producers-in-2020/,trade_press
Which brokers specialize in select-service hotel sales?,4,lodging-partners.com,https://www.lodging-partners.com/,competitor_homepage
Which brokers specialize in select-service hotel sales?,5,hotelbrokersamerica.com,https://hotelbrokersamerica.com/services/,competitor_service_page
Which brokers specialize in select-service hotel sales?,6,timmhotelbroker.com,https://timmhotelbroker.com/,competitor_homepage
Which brokers specialize in select-service hotel sales?,7,hotelbrokersinc.com,https://hotelbrokersinc.com/,competitor_homepage
Which brokers specialize in select-service hotel sales?,8,southeastinternational.com,https://southeastinternational.com/,competitor_homepage
Which brokers specialize in select-service hotel sales?,9,centergrowth.com,https://centergrowth.com/sell-my-hotel,competitor_service_page
Who does broker opinions of value for hotels for free?,1,fnrpusa.com,https://fnrpusa.com/blog/broker-price-opinions/,educational_blog
Who does broker opinions of value for hotels for free?,2,underwood.law,https://underwood.law/blog/what-is-a-brokers-opinion-of-value/,educational_blog
Who does broker opinions of value for hotels for free?,3,gokcecapital.com,https://gokcecapital.com/brokers-opinion-of-value/,educational_blog
Who does broker opinions of value for hotels for free?,4,drk-realty.com,https://drk-realty.com/commercial-real-estate-news-articles/broker-opinion-of-value-vs-appraisal,educational_blog
Who does broker opinions of value for hotels for free?,5,agorareal.com,https://agorareal.com/learn/bov-real-estate/,educational_blog
Who does broker opinions of value for hotels for free?,6,g2cre.com,https://www.g2cre.com/broker-opinions-of-value-bov/,educational_blog
Who does broker opinions of value for hotels for free?,7,decobase.app,https://www.decobase.app/blog/how-to-read-a-CRE-brokers-opinion-of-value,educational_blog
Who does broker opinions of value for hotels for free?,8,crebuilder.com,https://www.crebuilder.com/broker-opinion-of-value,educational_blog
Who does broker opinions of value for hotels for free?,9,en.wikipedia.org,https://en.wikipedia.org/wiki/Broker%27s_price_opinion,wiki
Best CMBS mortgage brokers for hotels,1,bridgemarketplace.com,https://www.bridgemarketplace.com/post/best-cmbs-lenders-for-hotel-deals,listicle
Best CMBS mortgage brokers for hotels,2,bridgemarketplace.com,https://www.bridgemarketplace.com/post/best-hotel-lenders-2026,listicle
Best CMBS mortgage brokers for hotels,3,bridgemarketplace.com,https://www.bridgemarketplace.com/post/best-hotel-financing-companies,listicle
Best CMBS mortgage brokers for hotels,4,cmbs.loans,https://cmbs.loans/hotel-cmbs-loans/,competitor_service_page
Best CMBS mortgage brokers for hotels,5,f10hotels.com,https://f10hotels.com/loan-brokers/,competitor_service_page
Best CMBS mortgage brokers for hotels,6,largocapital.com,https://largocapital.com/hotel-cmbs-financing-mortgage-banker/,lender_blog
Best CMBS mortgage brokers for hotels,7,hotelloans.com,https://hotelloans.com/cmbs-loans/,competitor_service_page
Best CMBS mortgage brokers for hotels,8,hotelcapitalfunding.com,https://hotelcapitalfunding.com/cmbs-hotel-loans/,competitor_service_page
Best CMBS mortgage brokers for hotels,9,peersense.com,https://peersense.com/best-hotel-lenders-2026,listicle
Hotel brokers in Austin Texas,1,loopnet.com,https://www.loopnet.com/company/hotel-brokers-of-austin/austin-tx/dcnf7rjl/,listing_directory
Hotel brokers in Austin Texas,2,crexi.com,https://www.crexi.com/profile/jay-weir-jayweir,agent_profile
Hotel brokers in Austin Texas,3,linkedin.com,https://www.linkedin.com/in/jay-weir-496b6aa/,social_profile
Hotel brokers in Austin Texas,4,loopnet.com,https://www.loopnet.com/commercial-real-estate-brokers/profile/jay-weir/ct2dxqeb,agent_profile
Hotel brokers in Austin Texas,5,loopnet.com,https://www.loopnet.com/company/austin-hotels-llc/austin-tx/qfhwq6zl/,listing_directory
Hotel brokers in Austin Texas,6,texaslodging.com,https://texaslodging.com/vendors_category/hotel-brokers/,directory
Hotel brokers in Austin Texas,7,rebusinessonline.com,https://rebusinessonline.com/hunter-hotel-advisors-brokers-sale-of-two-hotels-in-northwest-austin/,trade_press
Hotel brokers in Austin Texas,8,hotelbrokerinc.com,http://www.hotelbrokerinc.com/home/sold.html,competitor_homepage
Hotel brokers in Austin Texas,9,austinindian.com,https://www.austinindian.com/desi/businessdetail.asp?id=30566,directory
Hotel brokers in Austin Texas,10,cbre.com,https://www.cbre.com/people/dennis-drake,agent_profile
Who sells boutique hotels in the Texas Hill Country?,1,booking.com,https://www.booking.com/luxury/region/us/texas-hill-country.html,ota
Who sells boutique hotels in the Texas Hill Country?,2,thehotelguru.com,https://www.thehotelguru.com/en-us/best-hotels/united-states-of-america/texas-hill-country,travel_blog
Who sells boutique hotels in the Texas Hill Country?,3,expedia.com,https://www.expedia.com/Hill-Country-Hotels-Boutique-Hotel.0-0-d6059077-tBoutiqueHotel.Travel-Guide-Filter-Hotels,ota
Who sells boutique hotels in the Texas Hill Country?,4,panioloranch.com,https://panioloranch.com/boutique-hotels-in-texas-hill-country/,travel_blog
Who sells boutique hotels in the Texas Hill Country?,5,sagehill.com,https://www.sagehill.com/,hotel_property_site
Who sells boutique hotels in the Texas Hill Country?,6,alberthotel.com,https://alberthotel.com/,hotel_property_site
Who sells boutique hotels in the Texas Hill Country?,7,hillsidetexas.com,https://www.hillsidetexas.com/,hotel_property_site
Who sells boutique hotels in the Texas Hill Country?,8,hillsidetexas.com,https://www.hillsidetexas.com/hillsidestory,hotel_property_site
Who sells boutique hotels in the Texas Hill Country?,9,hotwire.com,https://www.hotwire.com/Hill-Country-Hotels-Boutique-Hotel.0-0-d6059077-tBoutiqueHotel.Travel-Guide-Filter-Hotels,ota
Who sells boutique hotels in the Texas Hill Country?,10,texas-hill-country-hotels.net,https://www.texas-hill-country-hotels.net/en/theme/boutique-hotels-4/,directory
National hotel brokerage firms with a Texas office,1,cbre.com,https://www.cbre.com/people/michael-yu,agent_profile
National hotel brokerage firms with a Texas office,2,hotelbusiness.com,https://togo.hotelbusiness.com/article/brokers-from-a-z/,trade_press_directory
National hotel brokerage firms with a Texas office,3,hotelbrokerone.com,https://www.hotelbrokerone.com/CompanyProfile.pdf,competitor_pdf
National hotel brokerage firms with a Texas office,4,loopnet.com,https://www.loopnet.com/company/hotel-brokers-of-america/dallas-tx/5lc9nfml/,listing_directory
National hotel brokerage firms with a Texas office,5,hotelbrokerone.com,https://www.hotelbrokerone.com/hotel-broker/Bert-Stevens,%20CHA,agent_profile
National hotel brokerage firms with a Texas office,6,tpghotels.com,https://tpghotels.com/texas/,competitor_market_page
National hotel brokerage firms with a Texas office,7,hotelbrokerone.com,https://www.hotelbrokerone.com/office/Dallas,office_page
National hotel brokerage firms with a Texas office,8,en.wikipedia.org,https://en.wikipedia.org/wiki/Sanguinet_%26_Staats,wiki
National hotel brokerage firms with a Texas office,9,tabanirealty.com,https://www.tabanirealty.com/,competitor_homepage
